first name,last name,nickname,link,height(ft),weight(lb),reach(inch),stance,wins,losses,draws,belt,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc.,TD Def,Sub. Avg
Todd,Duffee,,http://ufcstats.com/fighter-details/bda04c573563cc2e,"6' 3""",260 lbs.,"78.0""",Orthodox,9,3,0,0,5.93,37%,2.87,56%,0.72,25%,90%,0.0
Joe,Duffy,Irish,http://ufcstats.com/fighter-details/654ae722109a0d31,"5' 10""",155 lbs.,"73.0""",Orthodox,16,5,0,0,2.68,34%,3.78,54%,0.96,66%,64%,0.7
Alexis,Dufresne,Sneaky Zebra,http://ufcstats.com/fighter-details/4ae4049426e0161d,"5' 9""",135 lbs.,--,Orthodox,6,3,0,0,1.33,27%,3.33,60%,1.50,50%,50%,0.0
Jessamyn,Duke,The Gun,http://ufcstats.com/fighter-details/a7ddae0be8b78147,"5' 11""",135 lbs.,"73.0""",Orthodox,3,5,0,0,4.83,53%,4.43,57%,1.27,36%,50%,1.9
Kelly,Dullanty,Psycho,http://ufcstats.com/fighter-details/1a225f04aa6e0739,"5' 8""",155 lbs.,--,Orthodox,4,2,0,0,0.00,0%,0.67,75%,0.00,0%,66%,0.0
Norma,Dumont,The Immortal,http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,"5' 7""",135 lbs.,"67.0""",Orthodox,5,1,0,0,5.35,55%,2.65,72%,2.43,42%,100%,0.0
Evan,Dunham,,http://ufcstats.com/fighter-details/e5c9de15bb58b1c6,"5' 10""",155 lbs.,"70.0""",Southpaw,18,9,1,0,5.33,39%,3.54,61%,1.82,33%,79%,1.0
Alex,Dunworth,,http://ufcstats.com/fighter-details/31732a614e7a3d1d,"5' 8""",155 lbs.,--,,2,2,0,0,1.94,31%,8.71,35%,0.00,0%,50%,0.0
Tom,Duquesnoy,Fire Kid,http://ufcstats.com/fighter-details/e979c76341f19b22,"5' 7""",135 lbs.,"68.0""",Orthodox,16,2,0,0,3.83,45%,5.30,62%,0.42,25%,46%,0.0
Reuben,Duran,,http://ufcstats.com/fighter-details/4417980b3e798abf,"5' 7""",135 lbs.,"71.0""",Orthodox,11,7,1,0,3.19,49%,2.61,50%,0.98,23%,25%,0.7
Cody,Durden,,http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,"5' 7""",125 lbs.,"67.0""",Southpaw,11,2,1,0,2.40,42%,4.40,39%,2.00,15%,0%,1.0
Luiz,Dutra,Besouro,http://ufcstats.com/fighter-details/2153a7f8396a46cc,"5' 11""",170 lbs.,--,Orthodox,13,6,1,0,3.92,50%,4.80,41%,0.00,0%,100%,0.0
Rilley,Dutro,,http://ufcstats.com/fighter-details/43db649da89fac4b,"5' 8""",125 lbs.,--,Orthodox,11,4,0,0,4.74,54%,5.95,33%,0.00,0%,83%,0.0
Bill,Duvall,,http://ufcstats.com/fighter-details/7df4d3c38792b083,"6' 2""",185 lbs.,--,Southpaw,1,2,0,0,0.00,0%,2.40,40%,0.00,0%,0%,0.0
Merab,Dvalishvili,The Machine,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,"5' 6""",135 lbs.,"68.0""",Orthodox,12,4,0,0,3.91,39%,2.08,61%,7.71,43%,80%,0.3
David,Dvorak,Undertaker,http://ufcstats.com/fighter-details/9ada30894bf04e19,"5' 5""",125 lbs.,"68.0""",Orthodox,19,3,0,0,4.50,48%,3.17,63%,0.00,0%,75%,0.0
Matt,Dwyer,,http://ufcstats.com/fighter-details/8f0d576beba1cfcd,"6' 4""",170 lbs.,"76.0""",Orthodox,9,4,0,0,2.57,34%,3.24,54%,0.44,10%,60%,0.0
Rolando,Dy,Dy Incredible,http://ufcstats.com/fighter-details/55ed59d541f8b90c,"5' 8""",145 lbs.,"69.0""",Orthodox,9,7,1,0,3.04,37%,4.47,52%,0.30,20%,68%,0.0
Ben,Earwood,,http://ufcstats.com/fighter-details/ee457ef1e1c326c1,"5' 8""",170 lbs.,--,Orthodox,12,3,0,0,0.50,55%,0.20,33%,3.00,100%,0%,0.0
Cody,East,The Freight Train,http://ufcstats.com/fighter-details/5713c1d2fac539ac,"6' 3""",245 lbs.,--,Orthodox,12,3,0,0,4.15,43%,7.32,40%,3.97,100%,16%,0.0
Marvin,Eastman,The Beastman,http://ufcstats.com/fighter-details/05866d8c3a321856,"5' 9""",185 lbs.,"73.0""",Orthodox,18,15,1,0,2.21,35%,3.92,42%,1.38,33%,81%,0.0
Mike,Easton,The Hulk,http://ufcstats.com/fighter-details/bc7230f231701d66,"5' 6""",135 lbs.,"70.0""",Southpaw,13,6,0,0,3.51,37%,4.28,61%,0.75,22%,66%,0.0
Maurice,Eazel,,http://ufcstats.com/fighter-details/4acb99524a9a81ab,"5' 7""",135 lbs.,--,,7,15,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Vincent,Eazelle,The Real Deal,http://ufcstats.com/fighter-details/ec421d5de0aea624,"5' 11""",155 lbs.,--,,9,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ross,Ebanez,The Boss,http://ufcstats.com/fighter-details/a5b0bd216d8ba84e,"5' 9""",154 lbs.,--,Southpaw,20,10,0,0,0.74,50%,0.74,62%,3.70,100%,0%,0.0
Brian,Ebersole,Bad Boy,http://ufcstats.com/fighter-details/32ba186f4b0e3267,"6' 0""",170 lbs.,"73.0""",Southpaw,51,18,1,0,2.32,49%,2.14,56%,1.70,23%,61%,0.1
Mark,Eddiva,,http://ufcstats.com/fighter-details/40ff198adda94b9f,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0,0,3.37,45%,2.98,54%,1.45,22%,63%,0.0
