fight date,fight weightclass,win method,rounds,time,Winner,KD W,TD succeeded W,TD attempted W,TD % W,sub attempts W,pass W,str landed W,str total W,sig str landed W,sig str total W,sig str % W,dist str landed W,dist str total W,clinch str landed W,clinch str total W,ground str landed W,ground str total W,Loser,KD L,TD succeeded L,TD attempted L,TD % L,sub attempts L,pass L,str landed L,str total L,sig str landed L,sig str total L,sig str % L,dist str landed L,dist str total L,clinch str landed L,clinch str total L,ground str landed L,ground str total L
"October 24, 2020",Heavyweight,KO/TKO,1,4:59,Tai Tuivasa,0,0 , 1,0,0,0,13 , 19,13 , 19,68,13 , 19,0 , 0,0 , 0,Stefan Struve,1,0 , 0,--,0,0,48 , 63,27 , 42,64,14 , 28,10 , 11,3 , 3
"October 24, 2020",Catch Weight,U-DEC,3,5:00,Casey Kenney,0,0 , 3,0,2,0,138 , 325,136 , 321,42,134 , 318,2 , 3,0 , 0,Nathaniel Wood,0,2 , 6,33,0,0,125 , 249,123 , 247,49,118 , 241,4 , 5,1 , 1
"October 24, 2020",Welterweight,SUB,1,4:40,Shavkat Rakhmonov,0,0 , 2,0,0,1,16 , 26,9 , 18,50,4 , 12,5 , 6,0 , 0,Alex Oliveira,0,0 , 2,0,0,0,32 , 44,13 , 25,52,10 , 19,3 , 6,0 , 0
"October 24, 2020",Light Heavyweight,S-DEC,3,5:00,Da-Un Jung,1,0 , 3,0,0,0,61 , 133,56 , 126,44,46 , 114,6 , 8,4 , 4,Sam Alvey,0,0 , 0,--,0,0,69 , 177,59 , 166,35,56 , 162,2 , 3,1 , 1
"October 24, 2020",Women's Flyweight,KO/TKO,1,5:00,Miranda Maverick,0,0 , 0,--,0,0,30 , 80,30 , 80,37,30 , 80,0 , 0,0 , 0,Liana Jojua,0,0 , 0,--,0,0,49 , 95,49 , 95,51,49 , 95,0 , 0,0 , 0
"October 24, 2020",Lightweight,SUB,1,3:00,Joel Alvarez,0,0 , 0,--,0,2,10 , 13,4 , 6,66,3 , 5,0 , 0,1 , 1,Alexander Yakovlev,0,1 , 1,100,1,0,15 , 16,1 , 1,100,1 , 1,0 , 0,0 , 0
"October 17, 2020",Featherweight,U-DEC,5,5:00,Brian Ortega,2,3 , 10,30,3,0,129 , 214,127 , 212,59,118 , 199,5 , 7,4 , 6,Chan Sung Jung,0,0 , 0,--,0,0,64 , 166,62 , 163,38,62 , 162,0 , 1,0 , 0
"October 17, 2020",Women's Flyweight,KO/TKO,1,4:55,Jessica Andrade,0,0 , 0,--,2,0,27 , 61,19 , 53,35,10 , 41,9 , 12,0 , 0,Katlyn Chookagian,1,2 , 3,66,0,0,62 , 79,28 , 43,65,14 , 28,8 , 9,6 , 6
"October 17, 2020",Light Heavyweight,KO/TKO,1,2:01,Jimmy Crute,2,0 , 1,0,0,0,18 , 25,17 , 24,70,14 , 21,1 , 1,2 , 2,Modestas Bukauskas,0,0 , 0,--,0,0,7 , 17,7 , 17,41,7 , 17,0 , 0,0 , 0
"October 17, 2020",Welterweight,U-DEC,3,5:00,James Krause,0,2 , 12,16,0,0,66 , 216,64 , 214,29,64 , 214,0 , 0,0 , 0,Claudio Silva,0,0 , 1,0,2,0,96 , 162,94 , 159,59,94 , 159,0 , 0,0 , 0
"October 17, 2020",Featherweight,U-DEC,3,5:00,Jonathan Martinez,0,0 , 5,0,0,0,64 , 171,64 , 171,37,56 , 163,8 , 8,0 , 0,Thomas Almeida,0,0 , 0,--,0,0,73 , 205,73 , 205,35,69 , 201,4 , 4,0 , 0
"October 17, 2020",Lightweight,S-DEC,3,5:00,Guram Kutateladze,0,5 , 16,31,0,0,69 , 151,52 , 126,41,37 , 103,4 , 4,11 , 19,Mateusz Gamrot,1,0 , 1,0,5,0,43 , 93,37 , 86,43,35 , 84,0 , 0,2 , 2
"October 17, 2020",Women's Flyweight,U-DEC,3,5:00,Gillian Robertson,0,3 , 7,42,3,0,104 , 161,57 , 98,58,9 , 30,0 , 0,48 , 68,Poliana Botelho,0,0 , 0,--,0,0,39 , 61,22 , 43,51,15 , 35,4 , 5,3 , 3
"October 17, 2020",Middleweight,U-DEC,3,5:00,Junyong Park,0,4 , 4,100,4,0,260 , 350,10 , 21,47,2 , 2,0 , 0,8 , 19,John Phillips,0,0 , 0,--,0,0,13 , 25,5 , 14,35,5 , 14,0 , 0,0 , 0
"October 17, 2020",Lightweight,U-DEC,3,5:00,Fares Ziam,0,5 , 11,45,1,0,29 , 84,20 , 72,27,18 , 65,2 , 7,0 , 0,Jamie Mullarkey,0,1 , 5,20,5,0,54 , 98,47 , 89,52,35 , 72,6 , 8,6 , 9
"October 17, 2020",Light Heavyweight,KO/TKO,2,4:58,Maxim Grishin,0,1 , 5,20,1,0,31 , 44,12 , 23,52,8 , 17,3 , 5,1 , 1,Gadzhimurad Antigulov,0,1 , 1,100,1,0,66 , 126,34 , 76,44,22 , 45,3 , 6,9 , 25
"October 17, 2020",Bantamweight,KO/TKO,1,0:51,Said Nurmagomedov,0,0 , 0,--,0,0,18 , 24,18 , 24,75,3 , 7,4 , 4,11 , 13,Mark Striegl,0,0 , 1,0,0,0,3 , 7,3 , 7,42,3 , 7,0 , 0,0 , 0
"October 10, 2020",Bantamweight,KO/TKO,2,1:03,Cory Sandhagen,0,1 , 1,100,0,0,14 , 50,14 , 50,28,14 , 50,0 , 0,0 , 0,Marlon Moraes,1,0 , 0,--,1,0,38 , 88,38 , 88,43,36 , 84,0 , 0,2 , 4
